tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2,tbl6pk
Table 6,2024,3,30135,30194,"Allentown/Bethlehem/Easton, PA","Dallas/Fort Worth, TX",1307,18,367.69,AA,0.4110,376.60,AA,0.4110,376.60,0,,,202433013530194
Table 6,2024,3,30135,30325,"Allentown/Bethlehem/Easton, PA","Denver, CO",1539,89,138.60,G4,0.8773,110.43,G4,0.8773,110.43,0,,,202433013530325
Table 6,2024,3,30135,30397,"Allentown/Bethlehem/Easton, PA","Atlanta, GA (Metropolitan Area)",692,107,319.69,DL,0.9553,320.89,AA,0.0142,298.65,0,,,202433013530397
Table 6,2024,3,30135,30423,"Allentown/Bethlehem/Easton, PA","Austin, TX",1441,13,256.48,AA,0.3740,253.39,AA,0.3740,253.39,0,,,202433013530423
Table 6,2024,3,30135,30693,"Allentown/Bethlehem/Easton, PA","Nashville, TN",685,46,130.88,G4,0.7316,75.84,G4,0.7316,75.84,0,,,202433013530693
Table 6,2024,3,30135,30977,"Allentown/Bethlehem/Easton, PA","Chicago, IL",655,77,292.90,UA,0.9136,295.53,AA,0.0340,207.35,0,,,202433013530977
Table 6,2024,3,30135,31057,"Allentown/Bethlehem/Easton, PA","Charlotte, NC",481,78,266.36,AA,0.9611,267.10,AA,0.9611,267.10,0,,,202433013531057
Table 6,2024,3,30135,31135,"Allentown/Bethlehem/Easton, PA","Myrtle Beach, SC",518,144,84.50,G4,0.9758,80.16,G4,0.9758,80.16,0,,,202433013531135
Table 6,2024,3,30135,31136,"Allentown/Bethlehem/Easton, PA","Jacksonville, FL",783,13,249.04,AA,0.4202,212.27,AA,0.4202,212.27,0,,,202433013531136
Table 6,2024,3,30135,31453,"Allentown/Bethlehem/Easton, PA","Houston, TX",1350,13,331.05,AA,0.3529,259.19,AA,0.3529,259.19,0,,,202433013531453
Table 6,2024,3,30135,31454,"Allentown/Bethlehem/Easton, PA","Orlando, FL",906,63,136.96,G4,0.7309,78.89,G4,0.7309,78.89,0,,,202433013531454
Table 6,2024,3,30135,32457,"Allentown/Bethlehem/Easton, PA","San Francisco, CA (Metropolitan Area)",2500,16,377.34,DL,0.3562,339.62,AA,0.2740,312.83,0,,,202433013532457
Table 6,2024,3,30135,32467,"Allentown/Bethlehem/Easton, PA","Miami, FL (Metropolitan Area)",1061,45,146.32,G4,0.7676,97.15,G4,0.7676,97.15,0,,,202433013532467
Table 6,2024,3,30135,32575,"Allentown/Bethlehem/Easton, PA","Los Angeles, CA (Metropolitan Area)",2388,24,417.51,DL,0.4311,492.57,AA,0.2356,375.23,0,,,202433013532575
Table 6,2024,3,30135,33195,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",970,216,102.75,G4,0.9422,90.50,G4,0.9422,90.50,0,,,202433013533195
Table 6,2024,3,30135,33198,"Allentown/Bethlehem/Easton, PA","Kansas City, MO",1025,11,289.67,DL,0.2828,292.90,DL,0.2828,292.90,0,,,202433013533198
Table 6,2024,3,30135,33360,"Allentown/Bethlehem/Easton, PA","Melbourne, FL",914,15,148.12,G4,0.7535,78.59,G4,0.7535,78.59,0,,,202433013533360
